PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
17,144203568,66064,Inconclusive,20,,,active agonist,active agonist,6.68242,160.24,active antagonist,15.5454,-31.045,active agonist,5.10819,96.0302,active antagonist,34.8017,-47.4843,NCI
18,144203569,66435,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
19,144203570,8969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
20,144203571,10664,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,NCI
21,144203572,8739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
22,144203573,4904,Inconclusive,5,,,inconclusive,inconclusive agonist,,30.6623,inactive,,0,inactive,,0,inactive,,0,NCI
23,144203574,65463,Active,43,,,active antagonist,active antagonist,32.2305,-51.9476,inactive,,0,inconclusive antagonist,29.8493,-62.8369,inactive,,0,NCI
24,144203575,439501,Active,69,,,active antagonist,active antagonist,0.237101,-78.0102,inactive,,0,active antagonist,0.228175,-77.7139,inconclusive agonist,,,NCI
25,144203576,65708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
26,144203577,60196259,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
27,144203578,5338,Inconclusive,5,,,inconclusive,inconclusive antagonist,33.4915,-51.1884,inactive,,0,inactive,,0,inactive,,0,NCI
28,144203579,3246155,Inconclusive,20,,,active agonist,active agonist,18.1246,85.5781,inactive,,0,inconclusive agonist,10.5909,72.2003,inactive,,0,NCI
29,144203580,5920,Active,47,,,active antagonist,active antagonist,24.6377,-91.0316,active agonist,23.7101,29.6447,inconclusive antagonist,23.7101,-68.9737,inactive,,0,NCI
30,144203581,54724367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
31,144203582,7329,Active,64,,,active antagonist,active antagonist,2.50066,-106.562,active agonist,10.3448,30.7888,active antagonist,2.59849,-105.163,active antagonist,14.1232,-41.5495,NIEHS
32,144203583,667466,Inconclusive,5,,,inconclusive,inconclusive agonist,8.41267,77.5479,active antagonist,13.3332,-31.6853,active antagonist,33.4915,-56.1502,inactive,,0,NCI
33,144203584,24403,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
34,144203585,6419941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
35,144203586,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
36,144203587,6419978,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
37,144203588,5459110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
38,144203589,656597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
39,144203590,3000668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
40,144203591,22576,Inconclusive,20,,,active agonist,active agonist,8.09594,63.2352,inactive,,0,active agonist,6.68242,48.387,inactive,,0,NCI
41,144203592,2333,Active,62,,,active antagonist,active antagonist,7.21552,-137.67,inconclusive agonist,31.618,24.9825,active antagonist,8.09594,-94.4776,inactive,,0,NCI
42,144203593,614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
43,144203594,94280,Inconclusive,20,,,active agonist,active agonist,11.8832,82.4451,inactive,,0,active agonist,9.43918,58.1069,inactive,,0,NCI
44,144203595,23664709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
45,144203596,546,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
46,144203597,16678045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
47,144203598,14676,Inconclusive,20,,,active agonist,active agonist,8.41267,90.3932,inactive,,0,active agonist,3.61632,63.6471,inactive,,0,NCI
48,144203599,441358,Inconclusive,20,,,active agonist,active agonist,9.80846,64.5455,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
49,144203600,71822,Inconclusive,20,,,active agonist,active agonist,8.41267,129.644,inactive,,0,active agonist,8.7418,91.3203,inactive,,0,NCI
50,144203601,443939,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
51,144203602,298391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
52,144203603,4078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
53,144203604,2348,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
54,144203605,23667629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
55,144203606,122820,Active,46,,,active antagonist,active antagonist,34.8017,-107.032,inactive,,0,active antagonist,33.4915,-106.662,inactive,,0,NCI
56,144203607,3151,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
57,144203608,65758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Bionet
58,144203609,5694,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
59,144203610,4614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
60,144203611,71203,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
61,144203612,3061720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
62,144203613,35370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
63,144203614,2266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
64,144203615,2170,Inconclusive,20,,,active agonist,active agonist,15.8465,65.7773,inactive,,0,inconclusive agonist,14.1232,59.413,inactive,,0,BIOMOL
65,144203616,1727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
66,144203617,2081,Inconclusive,20,,,active agonist,active agonist,21.448,109.431,inactive,,0,active agonist,16.2037,89.2605,inactive,,0,Microsource
67,144203618,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
68,144203619,2130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
69,144203620,169371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
70,144203621,5283389,Inconclusive,5,,,inconclusive,inconclusive agonist,0.0112185,44.0995,inactive,,0,inactive,,0,inactive,,0,BIOMOL
71,144203622,119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
72,144203623,1967,Inconclusive,20,,,active agonist,active agonist,26.6032,67.0461,inactive,,0,inconclusive agonist,,43.442,inactive,,0,SigmaAldrich
73,144203624,1935,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
74,144203625,2265,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
75,144203626,135398513,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627,2244,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
77,144203628,2141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
78,144203629,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
79,144203630,2230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
80,144203631,16231,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,BIOMOL
81,144203632,564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
82,144203633,135401907,Inconclusive,5,,,inconclusive,inconclusive antagonist,2.81796,-39.8725,inactive,,0,inactive,,0,inactive,,0,NIEHS
83,144203634,2157,Inconclusive,20,,,active agonist,active agonist,10.1922,119.268,active antagonist,12.3481,-29.5083,inconclusive agonist,8.91116,73.0205,inactive,,0,BIOMOL
84,144203635,2119,Inconclusive,20,,,active agonist,active agonist,18.1246,74.0713,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
85,144203636,2123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
86,144203637,2196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
87,144203638,4768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
88,144203639,2471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640,2351,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,14.9601,-78.8738,active antagonist,8.7418,-32.7473,active antagonist,12.5873,-90.9287,inconclusive antagonist,12.5873,-32.0326,BIOMOL
90,144203641,2284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
91,144203642,2369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
92,144203643,2477,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
93,144203644,2717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
94,144203645,1687,Inconclusive,20,,,active agonist,active agonist,9.21978,117.564,active antagonist,20.6405,-32.5195,active agonist,9.95529,72.6991,inactive,,0,BIOMOL
95,144203646,2765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
96,144203647,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
97,144203648,2578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
98,144203649,2754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
99,144203650,6241,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
100,144203651,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
101,144203652,72276,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,16.7855,-35.303,inactive,,0,inconclusive antagonist,18.8336,-40.4077,inactive,,0,Microsource
102,144203653,2727,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
103,144203654,4211,Active,52,,,active antagonist,active antagonist,14.3968,-104.504,active agonist,11.4358,39.8324,active antagonist,19.5704,-99.7217,inactive,,0,SigmaAldrich
104,144203655,2554,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
105,144203656,2733,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,"Prestwick Chemical, Inc."
106,144203657,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
107,144203658,2720,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
108,144203659,5309446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203660,1547484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661,1355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,29.8493,38.6955,inactive,,0,BIOMOL
111,144203662,2812,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,10.1235,-75.6975,inactive,,0,inconclusive antagonist,11.3588,-65.578,inactive,,0,"Prestwick Chemical, Inc."
112,144203663,2913,Inconclusive,20,,,active agonist,active agonist,7.79114,74.9841,inactive,,0,inconclusive agonist,9.43918,110.668,inactive,,0,BIOMOL
113,144203664,135398737,Inconclusive,20,,,active agonist,active agonist,12.3481,79.358,inactive,,0,active agonist,9.43918,67.5775,inactive,,0,BIOMOL
114,144203665,4652,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
115,144203666,64927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
116,144203667,2796,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
117,144203668,2801,Inconclusive,20,,,active agonist,active agonist,3.90482,69.2415,inconclusive antagonist,,-26.9304,active agonist,3.48017,53.261,inactive,,0,BIOMOL
118,144203669,2803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
119,144203670,2753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
120,144203671,2726,Inconclusive,20,,,active agonist,active agonist,5.62256,77.9019,inactive,,0,inconclusive agonist,5.95572,68.9328,inactive,,0,BIOMOL
121,144203672,2762,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,"Prestwick Chemical, Inc."
122,144203673,2576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
123,144203674,19379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,"Prestwick Chemical, Inc."
124,144203675,2910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
125,144203676,104920,Inconclusive,5,,,inconclusive,inconclusive agonist,5.42768,53.1878,active antagonist,8.87266,-28.5149,inconclusive antagonist,35.476,-52.5468,inactive,,0,BIOMOL
126,144203677,36811,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,BIOMOL
127,144203678,3100,Inconclusive,5,,,inconclusive,inconclusive agonist,11.2185,44.1355,inactive,,0,inactive,,0,inactive,,0,BIOMOL
128,144203679,10649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
129,144203680,65327,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,11.3588,129.025,inactive,,0,active agonist,5.07379,65.3478,inactive,,0,"Prestwick Chemical, Inc."
130,144203681,6419921,Inconclusive,5,,,inconclusive,inconclusive agonist,29.8493,64.921,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
131,144203682,3053,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
132,144203683,3019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
133,144203684,3108,Inconclusive,5,,,inconclusive,active antagonist,34.8017,-46.3093,inconclusive agonist,,28.455,inactive,,0,inactive,,0,BIOMOL
134,144203685,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
135,144203686,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
136,144203687,9363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
137,144203688,53708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
138,144203689,8307,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,5.07379,35.1173,inactive,,0,inconclusive agonist,2.54292,36.6363,inconclusive agonist,,,"Prestwick Chemical, Inc."
139,144203690,72016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
140,144203691,3194,Active,48,,,active antagonist,active antagonist,23.159,-94.0728,active agonist,28.8147,83.308,active antagonist,24.0651,-62.0895,inactive,,0,SigmaAldrich
141,144203692,6207,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
142,144203693,3396,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,20.6405,-106.029,active antagonist,15.184,-29.1521,active antagonist,17.0368,-96.7375,inconclusive antagonist,22.3838,-59.8221,BIOMOL
143,144203694,3433,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
144,144203695,3386,Inconclusive,20,,,active agonist,active agonist,3.34915,63.7283,inconclusive antagonist,,-27.2189,inconclusive agonist,,9.45549,inactive,,0,BIOMOL
145,144203696,3331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
146,144203697,3372,Inconclusive,20,,,active agonist,active agonist,9.0838,209.768,inactive,,0,active agonist,8.7418,186.018,inactive,,0,BIOMOL
147,144203698,3339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,14.1232,-61.8354,inactive,,0,SigmaAldrich
148,144203699,3373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
149,144203700,3442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
150,144203701,3385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,NIEHS
151,144203702,3356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
152,144203703,3341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
153,144203704,3325,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
154,144203705,3397,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,16.3953,-108.131,inactive,,0,active antagonist,16.3953,-96.4568,active antagonist,21.1317,-37.9944,SigmaAldrich
155,144203706,3333,Inconclusive,5,,,inconclusive,active antagonist,20.6405,-100.895,active agonist,18.3959,147.75,inactive,,0,inconclusive antagonist,31.618,-33.2351,SigmaAldrich
156,144203707,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
157,144203708,3446,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
158,144203709,3488,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,11.8832,64.0534,inactive,,0,BIOMOL
159,144203710,71401,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
160,144203711,135398740,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
161,144203712,5280961,Active,58,,,active antagonist,active antagonist,6.68242,-113.29,active agonist,23.7101,51.1262,active antagonist,6.68242,-103.662,inactive,,0,SigmaAldrich
162,144203713,3559,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
163,144203714,9351,Inconclusive,5,,,inconclusive,active antagonist,8.35601,-91.5686,active agonist,5.9156,86.9564,inconclusive agonist,,,inactive,,0,"Prestwick Chemical, Inc."
164,144203715,5702293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
165,144203716,3639,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Microsource
166,144203717,774,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
167,144203718,681,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,BIOMOL
168,144203719,3657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
169,144203720,785,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NIEHS
170,144203721,3672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
171,144203722,55918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
172,144203723,3779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
173,144203724,54459,Active,45,,,active antagonist,active antagonist,20.6405,-59.6744,inactive,,0,inconclusive antagonist,21.1317,-63.5717,inactive,,0,BIOMOL
174,144203725,3696,Inconclusive,20,,,active agonist,active agonist,19.5704,84.9424,inactive,,0,inconclusive agonist,,,inactive,,0,BIOMOL
175,144203726,133621,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
176,144203727,3827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
177,144203728,3932,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
178,144203729,3965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
179,144203730,3878,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
180,144203731,3955,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,7.07838,-34.3293,inactive,,0,BIOMOL
181,144203732,39562,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
182,144203733,3899,Active,59,,,active antagonist,active antagonist,10.1235,-136.954,inconclusive agonist,7.59158,24.5614,active antagonist,9.74239,-112.187,inactive,,0,"Prestwick Chemical, Inc."
183,144203734,3676,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
184,144203735,3883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
185,144203736,3957,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,29.8493,-103.928,inactive,,0,active antagonist,33.4915,-75.6742,active antagonist,24.6377,-36.9798,BIOMOL
186,144203737,4170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
187,144203738,65710,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
188,144203739,4168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
189,144203740,4122,Active,52,,,active antagonist,active antagonist,3.53227,-62.4949,inactive,,0,active antagonist,3.2713,-64.0047,inconclusive agonist,,,Microsource
190,144203741,4810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
191,144203742,4184,Inconclusive,5,,,inconclusive,inconclusive agonist,10.5909,50.1747,inactive,,0,inactive,,0,inactive,,0,BIOMOL
192,144203743,5353788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
193,144203744,4201,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,BIOMOL
