PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype replicate 1,Phenotype replicate 2,Phenotype replicate 3,Phenotype replicate 4,Predicted Target Gene
35,104182250,,Inactive,,,DRSC02458,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,35090
36,104182259,,Inactive,,,DRSC02467,mito clumps cell death,CELL DEATH WITH MITO CLUMPS,,,
37,104182327,,Inactive,,,DRSC02535,mito clumps,CELL DEATH WITH MITO CLUMPS,,,326165
38,104182349,,Inactive,,,DRSC02557,mito puncta,CELL DEATH WITH MITO CLUMPS,,,250811
39,104182395,,Inactive,,,DRSC02603,cell death,CELL DEATH,,,34999
40,104182666,,Inactive,,,DRSC02874,mito clumps,,,,35072
41,104182706,,Inactive,,,DRSC02914,mito clumps,MITO CLUMPS,,,34985
42,104182714,,Inactive,,,DRSC02922,mito clumps,CELL DEATH,,,34732
43,104182801,,Inactive,,,DRSC03009,mito clumps,"SOME CELL DEATH WITH MITO CLUMPS, MITO CLUMPS WITH SOME CELL DEATH",,,250710
44,104182993,,Inactive,,,DRSC03201,FRAGMENTED PUNCTA,CELL DEATH ASSOCIATED MITO CHANGES,,,35342
45,104183006,,Active,3,,DRSC03214,PERINUCLEAR,NUCLEAR RIM STAINING OF MITOS,,,35359
46,104183088,,Inactive,,,DRSC03296,CELL DEATH,,,,34924
47,104183110,,Active,3,,DRSC03318,cell death,CELL DEATH WITH MITO CLUMPS,,,35176
48,104183120,,Inactive,,,DRSC03328,FRAGMENTED PUNCTA,CELL DEATH ASSOCIATED MITO CHANGES,,,35336
49,104183155,,Inactive,,,DRSC03363,mito clumps,MITO CLUMPS,,,35184
50,104183197,,Inactive,,,DRSC03405,connected mitos,connected mitos,,,34070
51,104183208,,Inactive,,,DRSC03416,mito clumps,,,,34329
52,104183270,,Inactive,,,DRSC03478,mito clumps,MORE CELL DEATH THAN MITO PUNCTA,,,34560
53,104183294,,Inactive,,,DRSC03502,FRAGMENTED PUNCTA,FRAGMENTED DISPERSED MITOS,,,35341
54,104183307,,Inactive,,,DRSC03515,perinuclear,MITO CLUMPS,,,34956
55,104183326,,Inactive,,,DRSC03534,cell death,CELL DEATH,,,34968
56,104183338,,Inactive,,,DRSC03546,mito clumps,"CELL DEATH WITH MITO PUNCTA, MITO PUNCTA WITH CELL DEATH",,,44173
57,104183471,,Inactive,,,DRSC03679,mito clumps,MITO CLUMPS WITH CELL DEATH,,,
58,104183549,,Inactive,,,DRSC03757,cell death,CELL DEATH,,,"3772081,3772265,3772276,3772502,10178849,3772083,3772166,3772299,3772248,3771809,3772099,3772104,3772058,3772336,3772271,3772264,3772575,3771891,326273,3772013,3772203,3772094,3772496,3771957"
59,104183552,,Inactive,,,DRSC03760,cell death,CELL DEATH,,,"3772087,3772342"
60,104183682,,Active,3,,DRSC03890,mito clumps,MITO CLUMPS,,,246596
61,104183684,,Active,3,,DRSC03892,mito clumps,MITO CLUMPS,,,246596
62,104183834,,Inactive,,,DRSC04042,CLUMPED,CELL ROUNDING WITH CLUMPED MITOS,,,37368
63,104183874,,Inactive,,,DRSC04082,some cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,47894
64,104183888,,Inactive,,,DRSC04096,CELL SHAPE CHANGE,,,,37859
65,104184097,,Inactive,,,DRSC04305,mito clumps cell death,CELL DEATH WITH MITO CLUMPS,,,37422
66,104184214,,Inactive,,,DRSC04422,PERINUCLEAR,NUCLEAR RIM STAINING OF MITOS,,,37820
67,104184416,,Inactive,,,DRSC04624,cell death,CELL DEATH,,,37894
68,104184436,,Inactive,,,DRSC04644,cell death,MODERATE CELL DEATH,,,37378
69,104184459,,Inactive,,,DRSC04667,some cell death associated mito clumps,MITO CLUMPS,,,43852
70,104184468,,Inactive,,,DRSC04676,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,37890
71,104184470,,Inactive,,,DRSC04678,mito clumps,MODERATE CELL WITH MITO CLUMPS NO CELL DEATH,,,44172
72,104184488,,Inactive,,,DRSC04696,CLUMPED,CELL SHAPE CHANGE AND MITO CLUMPS,,,37785
73,104184489,,Active,3,,DRSC04697,DISPERSED,DISPERSED MITOS WITH WEAK FLUORESCENCE,,,46326
74,104184500,,Inactive,,,DRSC04708,FRAGMENTED PUNCTA,CELL DEATH ASSOCIATED MITO CHANGES,,,37573
75,104184507,,Active,3,,DRSC04715,PERINUCLEAR,NUCLEAR RIM STAINING CELL SHAPE CHANGE,,,37356
76,104184512,,Inactive,,,DRSC04720,mito clumps,MITO CLUMPS,,,37655
77,104184700,,Inactive,,,DRSC04908,PERINUCLEAR,ROUNDED CELLS PERINUCLEAR STAINING,,,35501
78,104184736,,Inactive,,,DRSC04944,mito clumps,Cell death with mito clumps,,,
79,104184805,,Inactive,,,DRSC05013,mito clumps,MITO CLUMPS WITH CELL DEATH,,,2768716
80,104184931,,Inactive,,,DRSC05139,cell death with mito clumps,,,,35911
81,104185001,,Inactive,,,DRSC05209,mito clumps,cell death with mito clumps,,,
82,104185017,,Inactive,,,DRSC05225,mito clumps,,,,
83,104185051,,Inactive,,,DRSC05259,mito clumps,cell death wih mito clumps,,,
84,104185089,,Inactive,,,DRSC05297,mito clumps,,,,
85,104185152,,Inactive,,,DRSC05360,mito clumps,cell death with mito clumps,,,
86,104185217,,Inactive,,,DRSC05425,cell shape change,,,,
87,104185260,,Inactive,,,DRSC05468,mito clumps with cell death,cell death with mito clumps,,,36555
88,104185293,,Inactive,,,DRSC05501,mito clumps,,,,
89,104185345,,Inactive,,,DRSC05553,cell death with mito clumps,,,,246632
90,104185415,,Inactive,,,DRSC05623,cell death,CELL DEATH,,,
91,104185507,,Inactive,,,DRSC05715,cell deth with mito clumps,MITO CLUMPS,,,
92,104185561,,Inactive,,,DRSC05769,cell death,CELL DEATH,,,37191
93,104185584,,Inactive,,,DRSC05792,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,2768852
94,104185645,,Inactive,,,DRSC05853,cell death,CELL DEATH,,,
95,104185775,,Inactive,,,DRSC05983,Y,,,,36658
96,104185851,,Inactive,,,DRSC06059,mito clumps,,,,35761
97,104185910,,Inactive,,,DRSC06118,mito clumps,,,,36073
98,104185919,,Inactive,,,DRSC06127,mito clumps some cell death,CELL DEATH,,,36736
99,104185945,,Inactive,,,DRSC06153,mito clumps,MITO CLUMPS,,,36258
100,104186004,,Inactive,,,DRSC06212,mito clumps,CELL DEATH WITH MITO CLUMPS,,,5740325
101,104186011,,Inactive,,,DRSC06219,mito clumps,MITO CLUMPS,,,5740325
102,104186019,,Inactive,,,DRSC06227,cell death with mito clumps,CELL DEATH,,,36075
103,104186058,,Inactive,,,DRSC06266,mito clumps cell death,CELL DEATH WITH MITO CLUMPS,,,36714
104,104186084,,Inactive,,,DRSC06292,mito clumps,MITO CLUMPS,,,36330
105,104186104,,Inactive,,,DRSC06312,MITO CLUMPS WITH CELL DEATH,,,,36292
106,104186135,,Inactive,,,DRSC06343,mito clumps,CELL DEATH WITH MITO CLUMPS,,,36193
107,104186145,,Inactive,,,DRSC06353,mito clumps,Cell shape associated mito changes,MITO CLUMPS,MITO CLUMPS WITH CELL DEATH,
108,104186147,,Inactive,,,DRSC06355,cell death with mito clumps,,,,
109,104186233,,Inactive,,,DRSC06441,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,35974
110,104186257,,Inactive,,,DRSC06465,mito clumps,MITO CLUMPS,,,
111,104186259,,Inactive,,,DRSC06467,mito clumps,MITO CLUMPS WITH CELL DEATH,,,5740303
112,104186266,,Inactive,,,DRSC06474,mito clumps,MITO CLUMPS,,,50210
113,104186267,,Inactive,,,DRSC06475,mito clumps,MITO CLUMPS,,,
114,104186352,,Inactive,,,DRSC06560,mito clumps,MITO CLUMPS WITH CELL DEATH,,,36924
115,104186534,,Inactive,,,DRSC06742,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,44548
116,104186547,,Inactive,,,DRSC06755,UNDEFINED,CELL SHAPE CHANGE WITH MITO MORPHOLOGY CHANGE,,,35648
117,104186655,,Inactive,,,DRSC06863,mito clumps,MILD NO CELL DEATH,,,3772396
118,104186763,,Inactive,,,DRSC06971,mito clumps,MITO CLUMPS,,,36833
119,104186883,,Inactive,,,DRSC07091,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,"5740318,36712"
120,104186951,,Inactive,,,DRSC07159,Y,,,,46058
121,104187019,,Inactive,,,DRSC07227,Y,,,,
122,104187094,,Inactive,,,DRSC07302,Y,,,,36913
123,104187136,,Inactive,,,DRSC07344,mito clumps,MITO CLUMPS WITH CELL DEATH,,,37219
124,104187232,,Inactive,,,DRSC07440,mito clumps,,,,35764
125,104187251,,Active,3,,DRSC07459,mito clumps,MITO CLUMPS,,,36791
126,104187293,,Inactive,,,DRSC07501,mito clumps,,,,35788
127,104187306,,Inactive,,,DRSC07514,Y,,,,36951
128,104187307,,Inactive,,,DRSC07515,Y,,,,"246582,45780"
129,104187308,,Inactive,,,DRSC07516,Y,,,,36018
130,104187309,,Inactive,,,DRSC07517,cell rounding death with perinuclear mitos,CELL DEATH,,,45269
131,104187331,,Inactive,,,DRSC07539,mito clumps,CELL DEATH WITH MITO CLUMPS,,,36855
132,104187350,,Inactive,,,DRSC07558,mito clumps,CELL DEATH,,,36432
133,104187388,,Active,3,,DRSC07596,mito clumps,MITO CLUMPS,,,36491
134,104187440,,Inactive,,,DRSC07648,mito clumps,CELL DEATH WITH MITO CLUMPS,,,36555
135,104187442,,Inactive,,,DRSC07650,mito clumps some cell death,CELL DEATH WITH MITO CLUMPS,,,36571
136,104187452,,Active,3,,DRSC07660,mito clumps,MITO CLUMPS WEAKER,,,2768852
137,104187460,,Inactive,,,DRSC07668,Y,,,,36118
138,104187469,,Inactive,,,DRSC07677,mito clumps,MODERATE,,,36411
139,104187484,,Inactive,,,DRSC07692,mito clumps,MITO CLUMPS,,,44097
140,104187485,,Inactive,,,DRSC07693,CELL DEATH WITH MITO CLUMPS,,,,35662
141,104187724,,Inactive,,,DRSC07932,cell death,MITO CLUMPS WITH CELL DEATH,,,
142,104187730,,Inactive,,,DRSC07938,cell death,MITO CLUMPS WITH CELL DEATH,,,
143,104187792,,Inactive,,,DRSC08000,MITO CLUMPS,,,,
144,104187855,,Inactive,,,DRSC08063,cell shape change,CELL DEATH,,,2769007
145,104187872,,Inactive,,,DRSC08080,cell shape change and cell death,CELL DEATH WITH MITO CLUMPS,,,
146,104187912,,Inactive,,,DRSC08120,cell death,CELL DEATH,,,
147,104188027,,Inactive,,,DRSC08235,Y,,,,38073
148,104188055,,Inactive,,,DRSC08263,mito clumps,CELL DEATH WITH MITO CLUMPS,,,38338
149,104188117,,Active,3,,DRSC08325,MITO CLUMPS WITH CELL DEATH,,,,38567
150,104188125,,Inactive,,,DRSC08333,MITO CLUMPS WITH CELL DEATH,,,,38306
151,104188156,,Inactive,,,DRSC08364,mito clumps,MITO CLUMPS,,,38086
152,104188171,,Inactive,,,DRSC08379,CELL DEATH,,,,38116
153,104188172,,Inactive,,,DRSC08380,mito clumps,MITO CLUMPS,,,44254
154,104188202,,Inactive,,,DRSC08410,MITO CLUMPS,,,,38338
155,104188226,,Inactive,,,DRSC08434,mito clumps,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,MITO CLUMPS WITH CELL DEATH,2769007
156,104188229,,Inactive,,,DRSC08437,cell death and mito clumps,MITO CLUMPS WITH CELL DEATH,,,38438
157,104188232,,Inactive,,,DRSC08440,mito clumps,CELL DEATH,,,38464
158,104188385,,Inactive,,,DRSC08593,mito clumps,CELL DEATH WITH MITO CLUMPS,,,38562
159,104188495,,Inactive,,,DRSC08703,cell death,MITO CLUMPS WITH CELL DEATH,CELL DEATH,,
160,104188498,,Inactive,,,DRSC08706,Y,,,,38199
161,104188528,,Inactive,,,DRSC08736,mito clumps,MITO CLUMPS WITH CELL DEATH,,,38469
162,104188540,,Inactive,,,DRSC08748,cell shape change,CELL DEATH,,,38605
163,104188562,,Inactive,,,DRSC08770,cell shape change and cell death,CELL DEATH,,,
164,104188564,,Inactive,,,DRSC08772,CELL DEATH,,,,
165,104188592,,Inactive,,,DRSC08800,cell shape change and cell death,CELL DEATH,,,
166,104188597,,Inactive,,,DRSC08805,CELL SHAPE ASSOCIATED MITO CHANGES,,,,
167,104188688,,Inactive,,,DRSC08896,cell death,CELL DEATH,,,45588
168,104188689,,Inactive,,,DRSC08897,cell death,CELL DEATH,,,45588
169,104188711,,Inactive,,,DRSC08919,cell death with mito clumps,CELL DEATH,,,
170,104188765,,Inactive,,,DRSC08973,cell death,,,,
171,104188770,,Inactive,,,DRSC08978,cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,
172,104188783,,Inactive,,,DRSC08991,cell death,CELL DEATH ROUNDED CELLS WITH MITO CLUMPS,,,39111
173,104188792,,Active,3,,DRSC09000,MITO CLUMPS,,,,39169
174,104188839,,Inactive,,,DRSC09047,cell death,CELL DEATH,,,
175,104188861,,Inactive,,,DRSC09069,CELL DEATH,,,,
176,104188868,,Inactive,,,DRSC09076,MITO CLUMPS WITH CELL DEATH,,,,
177,104188869,,Inactive,,,DRSC09077,cell death,MITO CLUMPS WITH CELL DEATH,,,
178,104188953,,Inactive,,,DRSC09161,decreased fluorescence,,,,
179,104189022,,Inactive,,,DRSC09230,cell death with mito clumps,CELL DEATH,,,4379911
180,104189055,,Inactive,,,DRSC09263,cell death,CELL DEATH,,,45328
181,104189092,,Inactive,,,DRSC09300,mito clumps,MITO CLUMPS,,,39561
182,104189146,,Inactive,,,DRSC09354,cell death with mito clumps,MITO CLUMPS WITH SOME CELL DEATH,,,
183,104189766,,Inactive,,,DRSC09974,mito clumps,,,,38730
184,104189824,,Inactive,,,DRSC10032,cell death with mito clumps,CELL DEATH,,,
185,104189826,,Inactive,,,DRSC10034,CELL DEATH,,,,38907
186,104189833,,Inactive,,,DRSC10041,cell death with mito clumps,CELL DEATH,,,38876
187,104189879,,Inactive,,,DRSC10087,Y,,,,40090
188,104189949,,Inactive,,,DRSC10157,cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,39198
189,104189984,,Inactive,,,DRSC10192,cell death with mito clumps,CELL DEATH,,,38755
190,104189995,,Inactive,,,DRSC10203,mito clumps with cell death,CELL DEATH WITH MITO CLUMPING,,,38801
191,104190060,,Inactive,,,DRSC10268,mito clumps with cell shape assoiciated changes,CELL SHAPE ASSOCIATED MITO CHANGES,,,
192,104190067,,Inactive,,,DRSC10275,mito clumps,CELL DEATH WITH MITO CLUMPS,,,39406
193,104190072,,Inactive,,,DRSC10280,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,39522
194,104190077,,Inactive,,,DRSC10285,mito clumps with cell death,CELL DEATH,,,38787
195,104190122,,Inactive,,,DRSC10330,Y,,,,39099
196,104190127,,Inactive,,,DRSC10335,Y,,,,2768945
197,104190171,,Inactive,,,DRSC10379,mito clumps,,,,39864
198,104190177,,Inactive,,,DRSC10385,mito clumps with cell death,CELL DEATH,,,39091
199,104190186,,Inactive,,,DRSC10394,mito clumps,CELL DEATH WITH MITO CLUMPS,,,39084
200,104190244,,Inactive,,,DRSC10452,mito clumps,MITO CLUMPS INCREASED FLUORESCENCE,,,38619
201,104190302,,Inactive,,,DRSC10510,cell death with mito clumps,CELL DEATH,,,38648
202,104190308,,Inactive,,,DRSC10516,Y,,,,39987
203,104190432,,Inactive,,,DRSC10640,mito clumps,MITO CLUMPS,,,38990
204,104190488,,Inactive,,,DRSC10696,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,38968
205,104190508,,Inactive,,,DRSC10716,mito clumps with cell rounding,MITO CLUMPS WITH CELL DEATH,,,39561
206,104190531,,Inactive,,,DRSC10739,mito clumps,,,,40042
207,104190754,,Inactive,,,DRSC10962,mito clumps,,,,39169
208,104190757,,Inactive,,,DRSC10965,mito clumps,CELL DEATH WITH MITO CLUMPS,,,39153
209,104190769,,Inactive,,,DRSC10977,cell clumps with mito clumps,CELL DEATH WITH CELL SHAPE CHANGE,,,38876
210,104190808,,Inactive,,,DRSC11016,mito clumps,,,,38794
211,104190833,,Inactive,,,DRSC11041,mito clumps,,,,40147
212,104190841,,Inactive,,,DRSC11049,Y,,,,40138
213,104190916,,Inactive,,,DRSC11124,Y,,,,39961
214,104190974,,Inactive,,,DRSC11182,mito clumps with rounding of cells,,,,40155
215,104191067,,Inactive,,,DRSC11275,cell death with mito clums,,,,39845
216,104191114,,Inactive,,,DRSC11322,mito clumps with cell death,,,,39439
217,104191136,,Inactive,,,DRSC11344,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,39419
218,104191147,,Inactive,,,DRSC11355,mito clumps,,,,2768974
219,104191196,,Inactive,,,DRSC11404,N,,,,39753
220,104191465,,Inactive,,,DRSC11673,mito clumps,,,,
221,104191479,,Inactive,,,DRSC11687,mito clumps,,,,40335
222,104191495,,Inactive,,,DRSC11703,cell death with mito clumps,,,,40310
223,104191496,,Inactive,,,DRSC11704,mito clumps,,,,40310
224,104191511,,Inactive,,,DRSC11719,mito clumps,,,,40476
225,104191531,,Inactive,,,DRSC11739,mito clumps,,,,40273
226,104191605,,Inactive,,,DRSC11813,mito clumps,,,,40391
227,104191608,,Active,3,,DRSC11816,mito clumps,,,,40382
228,104191629,,Inactive,,,DRSC11837,Y,,,,40359
229,104191656,,Inactive,,,DRSC11864,mito clumps,,,,40345
230,104191687,,Inactive,,,DRSC11895,mito clumps with cell death,,,,45962
231,104191887,,Inactive,,,DRSC12095,MITO CLUMPS WITH CELL DEATH,,,,
232,104191978,,Inactive,,,DRSC12186,Y,,,,40639
233,104192030,,Inactive,,,DRSC12238,mito clumps,,,,5740349
234,104192055,,Inactive,,,DRSC12263,mito clumps,,,,4379844
235,104192166,,Inactive,,,DRSC12374,Y,,,,40620
236,104192239,,Inactive,,,DRSC12447,cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,40850
237,104192292,,Inactive,,,DRSC12500,mito clumps with cell death,,,,40879
238,104192330,,Inactive,,,DRSC12538,mito clumps,,,,40865
239,104192396,,Inactive,,,DRSC12604,mito clumps with cell death,,,,40833
240,104192414,,Active,3,,DRSC12622,mito clumps with cell death,,,,40848
241,104192415,,Inactive,,,DRSC12623,mito clumps,,,,40904
242,104192458,,Inactive,,,DRSC12666,cell death,CELL DEATH,,,40962
243,104192515,,Inactive,,,DRSC12723,"MITO CLUMPS WITHC CELL DEATH, MITO CLUMPS WITH CELL DEATH",,,,
244,104192580,,Inactive,,,DRSC12788,cell death,MITO CLUMPS WITH CELL DEATH,,,
245,104192588,,Inactive,,,DRSC12796,cell death,MITO CLUMPS WITH CELL DEATH,,,
246,104192630,,Inactive,,,DRSC12838,CELL DEATH,,,,
247,104192650,,Inactive,,,DRSC12858,cell shape change,CELL DEATH WITH MITO CLUMPS,,,
248,104192788,,Inactive,,,DRSC12996,mito clumps with cell shape change,MITO CLUMPS WITH CELL SHAPE CHANGE,,,
249,104192809,,Inactive,,,DRSC13017,mito clumps with cell death,CELL DEATH,,,41709
250,104192845,,Inactive,,,DRSC13053,CELL DEATH WITH CELL SHAPE CHANGE,,,,2768667
251,104192887,,Inactive,,,DRSC13095,mito clumps with cell death,MITO CLUMPS,,,
252,104192891,,Inactive,,,DRSC13099,mito clumps with cell death,Cell shape associated mito changes,MITO CLUMPS WITH CELL DEATH,,
253,104192966,,Inactive,,,DRSC13174,mito clumps with cell death,CELL DEATH,,,
254,104192982,,Inactive,,,DRSC13190,CELL DEATH,,,,
255,104193063,,Inactive,,,DRSC13271,CELL DEATH,,,,
256,104193090,,Inactive,,,DRSC13298,mito clumps with cell shape change,CELL DEATH WITH MITO CLUMPS,,,
257,104193301,,Inactive,,,DRSC13509,mito clumps with some cell death,MITO CLUMPS,,,
258,104193322,,Inactive,,,DRSC13530,mito clumps with some cell death,MITO CLUMPS WITH CELL DEATH,,,
259,104193411,,Inactive,,,DRSC13619,MITO CLUMPS WITH CELL DEATH,,,,
260,104193432,,Inactive,,,DRSC13640,CELL DEATH WITH MITO CLUMPS,,,,3772462
261,104193462,,Inactive,,,DRSC13670,CELL DEATH WITH MITO CLUMPS,,,,42918
262,104193523,,Inactive,,,DRSC13731,MITO CLUMPS WITH CELL DEATH,,,,
263,104193529,,Inactive,,,DRSC13737,mito clumps no cell death,CELL DEATH WITH MITO CLUMPS,,,
264,104193532,,Inactive,,,DRSC13740,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
265,104193583,,Inactive,,,DRSC13791,CELL DEATH WITH MITO CLUMPS,,,,
266,104193784,,Inactive,,,DRSC13992,mito clumps with cell shape change,MITO CLUMPS WITH CELL DEATH,,,
267,104193897,,Inactive,,,DRSC14105,mito clumps with cell death,cell death with mito clumps,,,41885
268,104193936,,Inactive,,,DRSC14144,Y,,,,44437
269,104194068,,Inactive,,,DRSC14276,cell death,MITO CLUMPS WITH CELL DEATH,,,53560
270,104194125,,Inactive,,,DRSC14333,mito clumps,,,,
271,104194139,,Inactive,,,DRSC14347,mito clumps,,,,46211
272,104194170,,Inactive,,,DRSC14378,cell death,CELL DEATH WITH MITO CLUMPS,,,7354466
273,104194252,,Inactive,,,DRSC14460,mito clumps,,,,50007
274,104194263,,Inactive,,,DRSC14471,mito clumps with cell death,CELL DEATH WITH MITO FRAGMENTATION,,,43660
275,104194275,,Inactive,,,DRSC14483,Y,,,,42385
276,104194307,,Inactive,,,DRSC14515,CELL DEATH WITH MITO CLUMPS,,,,5740528
277,104194318,,Inactive,,,DRSC14526,mito clumps with some cell death,cell death with mito clumps,,,41704
278,104194350,,Inactive,,,DRSC14558,CELL DEATH WITH MITO CLUMPS,,,,5740528
279,104194364,,Inactive,,,DRSC14572,mito clumps with cell death,,,,43308
280,104194459,,Inactive,,,DRSC14667,cell death with mito clumps,,,,318664
281,104194462,,Inactive,,,DRSC14670,mito clumps with cell death,,,,42784
282,104194466,,Inactive,,,DRSC14674,cell death with mito clumps,CELL DEATH,,,
283,104194486,,Inactive,,,DRSC14694,mito clumps,MITO CLUMPS WITH CELL DEATH,,,42659
284,104194514,,Inactive,,,DRSC14722,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43298
285,104194551,,Inactive,,,DRSC14759,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43298
286,104194554,,Inactive,,,DRSC14762,Y,,,,42303
287,104194578,,Inactive,,,DRSC14786,mito clumps,MITO CLUMPS WITH CELL DEATH,,,
288,104194579,,Inactive,,,DRSC14787,mito clumps,,,,42221
289,104194613,,Inactive,,,DRSC14821,cell death,cell death with mito clumps,,,41711
290,104194618,,Inactive,,,DRSC14826,mito clumps,,,,
291,104194653,,Inactive,,,DRSC14861,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43453
292,104194663,,Inactive,,,DRSC14871,mito clumps with cell death,CELL DEATH WTIH MITO CLUMPS,,,
293,104194689,,Inactive,,,DRSC14897,CELL DEATH WITH MITO CLUMPS,,,,43174
294,104194745,,Inactive,,,DRSC14953,Y,,,,41443
295,104194749,,Inactive,,,DRSC14957,cell death with mito clumps,,,,41470
296,104194758,,Inactive,,,DRSC14966,mito clumps with some cell death,cell death with mito clumps,,,5740700
297,104194763,,Inactive,,,DRSC14971,cell death with mito clumps,,,,41749
298,104194774,,Inactive,,,DRSC14982,mito clumps,cell death with mito clumps,,,3346167
299,104194788,,Inactive,,,DRSC14996,CELL DEATH WITH MITO CLUMPS,,,,41899
300,104194794,,Inactive,,,DRSC15002,cell death with mito clumps,,,,41932
301,104194837,,Inactive,,,DRSC15045,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43495
302,104194840,,Inactive,,,DRSC15048,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,3772082
303,104194897,,Inactive,,,DRSC15105,cell death,CELL DEATH,,,5740668
304,104194944,,Inactive,,,DRSC15152,mito clumps,,,,44258
305,104194957,,Inactive,,,DRSC15165,Cell shape associated mito changes,CELL DEATH WITH MITO CLUMPS,MITO CLUMPS,,
