PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005898618 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.825 uM,W590-Activity at 1.843 uM,W590-Activity at 4.120 uM,W590-Activity at 9.217 uM,W590-Activity at 20.60 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
6,17388667,8419,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08080917-01/37856569,,Inactive,,,,0,,,,,,,4,,5.4111,4.5171,-9.1037,6.3129,14.993,2.1944,0.8487,7.6496,-7.7742,0.3368,-0.6817,-3.7235,-4.8609,8.3547,5.4111,10,,,,,,,4,,0.8202,2.2981,-1.2558,1.3964,10.6436,1.4235,1.6069,3.6716,-9.2052,0.3537,-0.2223,-0.679,-1.2085,1.4436,0.8202,10,,,,,,,4,,-0.2649,-0.6272,-5.2486,0.8974,1.201,-1.0262,-1.1351,2.1274,-2.1692,1.3328,0.7006,-1.4143,-2.4971,2.7563,-0.2649,QC'd by NIEHS/NTP
7,17388668,62969,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944390-01/37856603,,Inactive,,,,0,,-8.8,3.132,0.363,1.5,-8.1399,4,0 0 0 1 1 0 0 0 0 0 0 0 0 0,3.5801,-7.6166,0.3767,6.1158,-6.2831,7.903,-1.1333,0.9296,2.0933,5.8707,-0.7104,-4.8634,-1.8816,6.8118,3.5801,10,,-4.9251,1.5579,0.3416,3.5,-6.5096,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.2245,-11.4341,-9.4066,4.7041,-9.8398,1.8672,-11.4838,-12.508,-6.2783,-6.3855,-1.6565,-4.4328,-0.0575,6.5432,0.2245,10,,-5.45,4.9549,0.8189,-7.7263,4,4,0 0 1 0 0 0 0 0 0 0 0 0 0 0,-7.7049,0.6283,5.846,-3.2005,0.097,0.8034,5.3874,7.5092,4.454,8.0502,-4.0484,-6.9828,-5.7954,-9.3552,-7.7049,QC'd by NIEHS/NTP
8,17388669,10215,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08080908-01/37856632,,Inconclusive,,,,0,,-4.35,2.7202,0.7885,-28.5246,-1.5,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-27.1038,-9.655,-4.299,7.0719,1.8027,-0.485,-2.3853,-2.396,-9.1029,-2.3023,-3.7708,-0.2499,-6.2758,-12.9177,-27.1038,0,Partial curve; partial efficacy,-4.3251,2.2526,0.7948,-34.3265,-3,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-31.9387,-9.8631,-4.0694,6.4887,0.5084,0.068,-4.9336,-0.9277,-7.7927,-3.7087,-5.5095,-1.096,-9.6537,-16.0743,-31.9387,10,,-4.35,0.9641,0.8282,5.5,-1.7503,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0,3.3191,-1.4753,-1.5247,-1.3999,-0.9112,-3.1253,0.9337,-1.136,-2.7926,-0.7897,-1.0966,0.2768,0.1738,1.4375,3.3191,QC'd by NIEHS/NTP
9,17388670,61186,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944088-01/37856410,,Inactive,,,,0,,-8.45,0.5,0.5929,0.5,-15.9475,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,-7.7406,-11.6229,4.4055,-2.7451,-5.5065,-3.108,1.171,-0.8495,-4.5712,-0.0285,1.4298,3.5919,-5.2814,2.4186,-7.7406,10,,,,,,,4,,-8.7516,-19.6478,-0.5868,-8.4521,-11.989,-6.71,-4.0615,-10.1054,-10.1836,-10.2351,-0.7366,-3.5429,-7.7313,0.7102,-8.7516,10,,,,,,,4,,-1.5138,5.2704,1.7204,-0.4148,1.5134,-1.723,-2.7835,1.079,1.1687,4.033,-0.3564,1.0979,-1.2427,-1.2225,-1.5138,QC'd by NIEHS/NTP
10,17388671,8061,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08082679-01/37857403,,Inactive,,,,0,,,,,,,4,,8.6179,9.06,-5.7045,5.5751,3.6012,1.3442,-9.6178,-7.3786,2.5275,-0.3189,10.6824,2.6973,9.7776,-0.7514,8.6179,10,,,,,,,4,,1.8158,1.9926,-6.9248,1.908,-0.6606,0.1999,-11.2214,-8.7257,0.6309,-1.3727,3.5192,2.3636,1.8241,-0.2685,1.8158,10,,,,,,,4,,0.7333,2.1108,-1.4835,2.5414,-0.5672,-1.0961,-0.9814,-1.156,0.972,0.6025,1.9995,1.0126,-0.3725,1.2836,0.7333,QC'd by NIEHS/NTP
11,17388672,6440940,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681050-01/37857153,,Inconclusive,2.8184,71.5783,,0,,,,,,,4,,5.0326,-0.9589,3.4161,14.5639,8.8555,6.7666,-1.0477,8.8624,14.1313,-3.4851,6.8534,7.7643,18.4446,16.3991,5.0326,0,Complete curve; partial efficacy,-5.7751,2.3332,0.9587,-39.2993,1.2215,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-39.1703,-1.6521,1.7759,4.9155,2.6444,1.0103,-7.0436,1.0193,0.939,-26.2243,-30.6109,-42.8697,-36.5023,-39.3271,-39.1703,10,Complete curve; partial efficacy,-5.55,1.7885,0.9825,74.0106,2.4323,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,63.3358,-0.1165,-0.5701,2.2451,3.5884,4.1339,1.9078,7.3671,10.9212,24.9943,45.635,72.5156,74.5868,78.2658,63.3358,QC'd by NIEHS/NTP
12,17388673,66449,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681062-01/37857342,,Inactive,,,,0,,,,,,,4,,0.0888,2.7907,-1.862,2.0715,4.9419,2.061,3.5877,1.6924,-3.4489,-1.8204,5.0702,0.532,8.5982,-2.6353,0.0888,10,,,,,,,4,,0.0456,0.4521,-6.4503,-5.0241,0.8917,-3.5973,0.841,-1.2604,-6.9133,-6.1002,2.8557,-0.3862,-0.5628,-8.2553,0.0456,10,,-3.5,0.4,0.463,-7.3123,1,4,0 0 1 0 0 1 0 0 0 0 0 0 0 0,-3.5936,0.7501,0.0908,3.9816,1.7131,1.3833,-1.9264,0.7145,-0.9848,1.2054,-1.2748,-1.9579,-0.1263,0.201,-3.5936,QC'd by NIEHS/NTP
13,17388674,33133,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930214-01/37857193,,Inconclusive,7.9433,43.6915,,0,,-4.7,0.9,0.6059,-21.6855,1,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0,-19.3212,-1.5392,1.0163,-7.0528,2.6008,16.2197,5.2948,10.6719,-1.9557,-9.102,1.8908,-8.5726,-12.4746,-10.2202,-19.3212,0,Complete curve; partial efficacy,-5.0751,4.9549,0.9286,-38.3823,3.0742,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-43.0499,0.7454,-1.0793,-0.4603,3.7647,15.4668,-1.4205,10.15,1.3158,0.8915,1.3395,-23.0123,-37.7437,-33.0318,-43.0499,10,Complete curve; partial efficacy,-5.1,2.6384,0.971,41.5624,-2.1291,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,41.7716,-1.5508,-2.0081,-2.3174,-1.2397,-4.2743,-2.1742,-2.6837,-0.1359,-3.4855,8.7665,21.4831,45.8089,35.4696,41.7716,QC'd by NIEHS/NTP
14,17388675,5590,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944340-01/37856797,,Inhibitor,37.578,39.4994,,0,Partial curve; partial efficacy; poor fit,-4.6,2.0479,0.8251,-38.7344,2.4407,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-38.4792,-2.9013,-5.3493,12.7074,-1.575,-0.562,-3.7345,2.3855,8.3297,5.6812,12.4,-3.0714,-17.0417,-24.772,-38.4792,0,Partial curve; partial efficacy,-4.4251,1.8079,0.7198,-34.9994,4.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-31.216,-1.4261,1.0129,14.5324,-2.2781,-1.8987,-0.5495,2.9587,11.3828,8.3981,17.9799,0.7855,-10.4852,-14.9001,-31.216,10,,-4.75,1.5095,0.8755,-9.0029,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-8.3358,-0.6335,-1.0355,0.8696,1.3626,2.9106,0.1035,-0.4755,0.0153,2.0958,-0.0828,-3.5795,-3.9561,-7.4467,-8.3358,QC'd by NIEHS/NTP
15,17388676,18725,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08080870-01/37857076,,Inactive,,,,0,,,,,,,4,,2.4863,9.9962,6.5347,11.8397,7.4451,3.6385,6.138,-2.6818,8.1842,18.7157,13.2787,-1.1312,9.0101,9.3206,2.4863,10,,,,,,,4,,2.5308,6.6334,2.2195,5.907,4.6103,1.2074,1.4063,0.4255,4.3282,15.6053,11.3577,-1.5346,0.0503,4.0943,2.5308,10,,,,,,,4,,-0.9873,-0.654,0.2466,1.2353,-0.9823,0.0758,2.1795,-1.8526,-0.253,-0.2091,1.0158,-0.7999,1.6333,0.6813,-0.9873,QC'd by NIEHS/NTP
16,17388677,8783,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981439-01/37856865,,Inactive,,,,0,,,,,,,4,,-5.7819,1.904,-11.6178,0.363,-7.2158,-11.2045,-10.0048,-3.0801,-9.4708,-8.3279,-4.4159,-0.5795,3.9339,-4.2707,-5.7819,10,,-5.1251,4.095,0.4359,0,-4.4387,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.3938,-1.1685,-5.9072,-3.1206,-5.0894,-5.7218,-8.2822,-0.1308,-5.2097,-6.1411,-3.2756,-1.778,1.4417,-2.5487,1.3938,10,,,,,,,4,,-0.2421,0.2919,-3.1445,-0.557,-0.0733,-3.7004,-1.6971,-2.9465,-1.6934,-0.4731,-2.7501,-1.7052,-3.3486,-3.08,-0.2421,QC'd by NIEHS/NTP
17,17388678,17142,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07976081-01/37857324,,Inactive,,,,0,,-5.8,2.2526,0.4363,-9.1465,-1,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,-7.4467,-8.684,6.0218,6.8768,-5.3732,-6.7359,4.5219,-4.0351,-2.3083,-5.3561,-8.7602,-15.5387,-5.8015,-7.157,-7.4467,10,,,,,,,4,,0.6459,-2.077,14.0537,13.079,-1.7291,-0.5548,11.6439,1.4992,6.2567,0.0986,-1.4248,-4.8046,5.8457,6.0762,0.6459,10,,,,,,,4,,-1.901,-3.7813,-2.0856,-1.6883,-2.882,-3.9992,-2.7225,-1.7931,-2.1603,-2.7396,-2.7922,-2.4038,-1.7474,-2.7031,-1.901,QC'd by NIEHS/NTP
18,17388679,7540,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08080849-01/37856897,,Inactive,,,,0,,-4.65,1.4787,0.7761,20,1.1206,4,1 0 0 1 0 0 0 0 0 0 0 0 0 1,9.4295,-3.5065,3.9495,-0.1302,10.4467,0.543,6.4483,-1.1824,-2.8161,0.5284,4.5008,5.2461,9.6043,15.8577,9.4295,10,,-9.1251,4.9549,0.3883,1,-9.1824,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.5842,-6.8187,1.9451,0.801,4.4687,0.7528,2.2422,-0.2468,-6.2539,0.9842,2.4904,1.8007,0.0417,5.1027,-0.5842,10,,,,,,,4,,4.6438,0.3793,0.9995,-0.0557,1.0831,1.5821,0.3455,1.3529,1.3756,-2.6744,0.6273,1.5954,4.6201,4.187,4.6438,QC'd by NIEHS/NTP
