PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005899000 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.824 uM,W590-Activity at 1.843 uM,W590-Activity at 4.122 uM,W590-Activity at 9.217 uM,W590-Activity at 20.61 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
6,17388667,8419,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08080917-01/115412349,,Inactive,,,,0,,,,,,,4,,12.2609,10.3619,5.6061,13.7946,12.3309,6.0026,15.3903,9.6354,10.757,-2.6305,6.6162,7.1428,8.8907,11.6578,12.2609,10,,,,,,,4,,-0.3852,3.2831,-0.0661,5.4437,1.7383,-0.9931,4.164,1.8136,1.6517,0.2359,1.2399,2.1701,-1.1009,1.0396,-0.3852,10,,,,,,,4,,2.6349,2.0222,1.6713,3.5834,1.3577,0.5337,2.3854,2.1506,2.7207,-0.1915,0.3728,-0.8682,1.7666,-1.3741,2.6349,QC'd by NIEHS/NTP
7,17388668,62969,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944390-01/115412426,,Inactive,,,,0,,,,,,,4,,5.4511,4.153,15.3624,0.1324,-0.7457,11.8345,-5.8096,3.6407,-9.5446,14.855,-5.7664,-1.0084,3.1976,2.617,5.4511,10,,,,,,,4,,4.8978,3.0095,3.3751,-2.4176,-3.2609,0.6238,-11.5532,1.0585,-17.2894,1.7108,-8.9022,1.1311,-0.889,2.3771,4.8978,10,,-5.15,1.5579,0.9159,-12.4957,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-14.1631,-0.9937,1.2937,-0.5307,0.3168,1.6179,-1.5614,0.0729,-0.1897,2.0848,-5.4643,-6.938,-10.3261,-10.007,-14.1631,QC'd by NIEHS/NTP
8,17388669,10215,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08080908-01/115413388,,Inhibitor,37.578,35.7101,,0,Partial curve; partial efficacy; poor fit,-4.3751,1.7529,0.7181,-24.5079,4.5,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-23.7566,-1.4873,-4.8916,9.1801,4.4908,9.0508,4.0461,9.0651,3.0762,3.1394,9.3349,2.0077,-6.55,-5.696,-23.7566,0,Partial curve; partial efficacy,-4.4251,1.6924,0.8626,-36.7101,-1,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33.9909,-2.3447,-11.2521,1.2421,0.1804,0.5375,0.8567,-0.2526,1.325,-0.8923,1.5355,-2.8118,-13.9297,-17.0208,-33.9909,10,,,,,,,4,,0.2375,-0.8414,-1.1556,1.1719,-1.7326,-0.3871,-1.953,0.4705,0.4233,1.7461,0.0388,1.4123,0.1884,2.0522,0.2375,QC'd by NIEHS/NTP
9,17388670,61186,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944088-01/115413408,,Inactive,,,,0,,-5.5751,0.3,0.5086,13.5,-1.2694,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,5.489,1.8707,-4.3911,3.3084,2.7978,4.5872,1.3787,1.7243,5.5631,11.0405,5.0233,2.2667,9.2197,10.7632,5.489,10,,-7.2251,0.3,0.572,4.5,-9.3756,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.4931,-3.8149,-11.1463,-2.5688,-0.59,-2.5703,-0.0835,-3.0608,0.47,4.0841,1.6577,-2.7963,1.5267,3.9211,4.4931,10,,,,,,,4,,0.6916,3.1363,2.1387,2.4672,0.5313,2.0228,0.4523,3.2318,-0.2372,-0.7902,-0.4864,1.3231,0.6601,0.3757,0.6916,QC'd by NIEHS/NTP
10,17388671,8061,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082679-01/115413176,,Inactive,,,,0,,,,,,,4,,16.3241,12.773,11.9745,16.7855,5.2365,3.6417,5.1938,-0.9773,6.5096,-2.0032,-0.3927,3.1092,6.9368,17.3477,16.3241,10,,,,,,,4,,1.1867,-2.3873,3.0361,6.3231,0.2676,0.5812,1.2786,-1.252,4.9081,-3.8713,-0.9759,1.2338,3.2009,4.3127,1.1867,10,,,,,,,4,,1.918,1.5268,1.7109,3.9492,2.2036,1.5319,2.1243,1.3411,1.5981,3.4569,0.8125,0.9909,1.3505,1.0149,1.918,QC'd by NIEHS/NTP
11,17388672,6440940,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB13681050-01/115413274,,Inconclusive,2.2387,62.4983,,0,,,,,,,4,,-2.694,5.4691,5.8774,-1.904,6.0618,-4.277,4.5738,-4.6042,-0.2639,-1.894,11.641,3.1899,4.4186,-1.7632,-2.694,0,Complete curve; partial efficacy,-5.7751,0.9,0.9679,-48.0972,-1.308,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-45.1485,1.1775,-0.4264,-7.6976,0.814,-7.8085,0.6969,-13.3531,-17.4402,-28.3075,-31.4905,-41.2413,-41.9443,-46.9025,-45.1485,10,Complete curve; partial efficacy,-5.65,1.6266,0.9975,64.1349,1.6365,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,61.4795,0.8871,1.8167,3.039,0.1798,1.1104,3.1172,4.5433,12.7475,26.9147,50.5049,58.7398,63.0232,63.8147,61.4795,QC'd by NIEHS/NTP
12,17388673,66449,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB13681062-01/115412201,,Inconclusive,,,,0,Partial curve; partial efficacy; poor fit,-4.3251,1.1,0.7206,27.5,1.4764,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,20.039,-4.1863,-3.9527,4.063,5.8433,0.8461,2.4029,4.6896,0.3749,6.5607,0.0307,1.3184,12.646,12.0823,20.039,10,,-4.2751,1.9673,0.638,18,0.5128,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,14.4011,-5.8226,-1.5304,5.3817,5.3378,1.4403,0.4403,0.1548,-2.5646,1.4866,-0.2293,0.151,4.6055,6.0199,14.4011,10,,,,,,,4,,-0.6647,-0.859,-2.6796,1.0182,0.7146,-0.1968,1.093,1.973,3.2802,2.175,0.8009,0.0598,0.9417,0.0204,-0.6647,QC'd by NIEHS/NTP
13,17388674,33133,Active,61,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07930214-01/115412445,,Inhibitor,11.8832,58.4452,,0,Partial curve; partial efficacy; poor fit,-4.7751,0.9,0.8899,-33.7968,8.0539,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-28.164,10.8586,11.4548,7.5381,2.3271,17.3752,4.4105,6.982,2.2069,-3.1869,-0.0598,-2.3595,-12.1919,-25.6202,-28.164,0,Complete curve; partial efficacy,-4.9251,1.2876,0.9589,-53.4452,5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-49.931,1.8661,8.908,6.0864,-2.0099,14.7895,-0.7861,2.9641,3.526,0.133,-3.8099,-22.0961,-33.4883,-43.9956,-49.931,10,Complete curve; partial efficacy,-5.1,1.4787,0.9974,45.3931,-0.6798,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,44.9084,0.1535,-1.9081,-0.4757,-2.3475,-1.6147,0.08,-0.5179,1.6357,4.3076,11.0449,25.6297,35.9837,41.0634,44.9084,QC'd by NIEHS/NTP
14,17388675,5590,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944340-01/115413250,,Inactive,,,,0,,-4.3251,4.9549,0.6878,-17.9871,2,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-18.3226,-0.3416,-6.351,0.7491,1.5116,4.2965,6.0909,1.4862,3.9076,-1.1047,2.036,11.1818,1.5477,-7.0033,-18.3226,10,,-4.2251,4.5045,0.8248,-19.2235,1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-16.8529,1.3371,-5.5334,1.392,1.3812,0.8817,5.3543,0.8795,1.4675,0.034,1.44,0.5537,1.6973,-3.9673,-16.8529,10,,-4.5,2.0479,0.8923,-4.8568,0,4,0 0 0 0 1 0 0 0 0 0 1 0 0 0,-4.464,0.0393,-0.2702,-0.684,0.0995,2.7177,0.039,-0.9394,0.739,1.0149,-0.1461,2.8612,-1.5687,-3.2516,-4.464,QC'd by NIEHS/NTP
15,17388676,18725,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08080870-01/115413082,,Inactive,,,,0,,,,,,,4,,6.977,3.5166,2.5288,2.7261,16.4901,6.8218,13.0627,13.421,-4.073,4.0156,11.5685,9.1861,11.8701,17.0152,6.977,10,,,,,,,4,,2.081,1.5473,3.4152,2.4898,4.523,0.6611,2.3503,4.5379,-9.1005,3.1448,5.8161,1.8399,1.5276,5.3227,2.081,10,,,,,,,4,,0.175,-0.2574,0.0879,1.2628,1.9987,0.3467,3.1346,2.0561,-0.3776,-1.2014,-0.7726,0.4027,-0.713,0.7656,0.175,QC'd by NIEHS/NTP
16,17388677,8783,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07981439-01/115412130,,Inactive,,,,0,,,,,,,4,,4.417,-10.4811,10.7946,-2.32,-10.1607,-7.7009,-11.0899,-13.209,-8.8102,-11.2395,-4.6135,-8.3426,-14.6589,1.6944,4.417,10,,-8.0251,4.9549,0.3541,-3.7248,4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,3.2013,-4.4103,12.8702,-3.5543,-3.8565,-3.056,-2.7214,-7.2706,-2.1517,-5.4153,-4.1346,-1.9574,-5.9771,-0.0196,3.2013,10,,,,,,,4,,1.6737,-1.6074,-0.4144,-2.197,-1.8101,-1.9205,-2.3356,-0.2387,-2.4853,-4.0967,4.6454,-1.316,-1.4736,0.5673,1.6737,QC'd by NIEHS/NTP
17,17388678,17142,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07976081-01/115412913,,Inactive,,,,0,,,,,,,4,,-14.816,-8.4041,-9.0063,-1.8084,-6.2184,-10.2731,-9.0989,-6.3278,-4.8397,-6.7497,-21.0822,-7.1203,-3.8368,-14.7557,-14.816,10,,,,,,,4,,-0.6592,-5.0187,-4.9237,0.0764,-2.379,-4.7008,-5.069,-7.9979,-0.5913,-6.3316,-16.6561,-0.2621,0.9849,-7.2512,-0.6592,10,,,,,,,4,,-2.7674,-3.5121,-3.0536,-1.7224,-3.7411,-6.1969,-3.7856,-0.3104,-3.3354,-1.3152,-2.8914,-1.8085,-0.7186,-0.5254,-2.7674,QC'd by NIEHS/NTP
18,17388679,7540,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08080849-01/115412671,,Inactive,,,,0,,,,,,,4,,11.8708,13.0953,3.0234,9.4524,4.8876,1.1888,4.4048,8.3152,17.2694,9.4744,4.5731,12.0723,10.1977,12.8324,11.8708,10,,-5.9751,0.3,0.3043,6,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,3.3972,1.024,2.5242,0.4589,1.0592,2.7203,3.2675,0.1471,7.7827,1.8097,4.5276,2.9353,3.6571,5.3652,3.3972,10,,,,,,,4,,4.5281,2.2103,2.1182,3.6142,2.7343,1.5935,0.4966,1.2535,1.3795,1.8691,1.311,3.4693,3.1292,-0.4002,4.5281,QC'd by NIEHS/NTP
19,17388680,11776,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07995177-01/115412737,,Inconclusive,,,,0,,,,,,,4,,-9.201,-8.4557,-9.3095,-2.9425,-4.223,-1.7553,-2.7385,-8.668,-1.1221,-9.3507,-6.3624,-16.571,-2.0234,-1.6883,-9.201,0,Partial curve; partial efficacy; poor fit,-4.3251,0.8,0.7414,-37.5302,-3,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-27.9418,-9.0119,-5.3084,-0.3733,-4.6046,2.4871,-0.4368,-7.5249,2.1949,-6.9659,-7.9311,-16.3538,-12.1872,-15.0817,-27.9418,10,,-4.45,0.8,0.9735,30,-1.0704,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,21.6897,-0.9225,-1.0569,-1.7253,1.6374,-1.6624,-0.8452,-0.3643,0.1373,0.9776,4.6337,6.4831,12.694,14.1443,21.6897,QC'd by NIEHS/NTP
