PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average rate(O2_Uptake(Control)),Standard error(O2_Uptake(Control)),Student's t-test(O2_Uptake(Control)),Outcome(O2_Uptake(Control)),Average rate(O2_Uptake(Treatment)),Standard error(O2_Uptake(Treatment)),Student's t-test(O2_Uptake(Treatment)),Outcome(O2_Uptake(Treatment)),Average rate(Growth(Control)),Standard error(Growth(Control)),Student's t-test(Growth(Control)),Outcome(Growth(Control)),Average rate(Growth(Treatment)),Standard error(Growth(Treatment)),Student's t-test(Growth(Treatment)),Outcome(Growth(Treatment))
7,363681721,252604,Active,,,,92.56,1.47,0.0032015,2,44.04,2.37,4.6e-06,2,102.64,7.73,0.773072,1,105.95,6.99,0.518195,1
8,363681722,78503,Active,,,,95.61,0.95,0.0103781,1,36.02,6.78,0.0049861,2,102.71,7.09,0.834381,1,61.13,12.94,0.126355,1
9,363681723,2306549,Active,,,,99.07,2.35,0.130468,1,38.59,0.99,2.3e-06,2,65.84,6.11,0.0337717,2,56.08,8.02,0.0064019,2
10,363681724,4155370,Active,,,,81.02,0.95,7.02e-05,2,16.46,4.31,0.0001013,2,91.31,4.72,0.246589,1,82.52,9.63,0.173141,1
11,363681725,763883,Active,,,,80.15,1.64,6.37e-05,2,22.31,5.98,0.0014569,2,99.07,8.97,0.943206,1,58.1,7.24,0.0396042,2
12,363681726,531997,Active,,,,84.97,8.5,0.13343,1,14.99,3.87,3.34e-05,2,100.54,10.22,0.905623,1,71.84,0.95,0.0005896,2
13,363681727,765344,Active,,,,73.67,2.74,5.96e-05,2,28.72,4.32,0.0002065,2,88.05,11.72,0.324274,1,23.06,11.71,0.0010993,2
14,363681728,853652,Active,,,,89.64,5.05,0.0721119,1,19.29,0.93,5e-07,2,91.11,10.75,0.342875,1,74.97,5.49,0.0407361,2
15,363681729,8362873,Active,,,,92.01,5.42,0.121386,1,14.31,1.81,1e-07,2,103.27,2.63,0.406316,1,88.18,9.79,0.346922,1
16,363681730,4410225,Active,,,,104.51,0.38,0.844581,1,66.46,2.47,0.0002083,2,95.32,11.74,0.58327,1,77.57,10.04,0.0901684,1
17,363681731,532001,Active,,,,95.14,2.55,0.0343914,1,23.57,2.49,7e-07,2,80.84,3.52,0.0188496,2,74.53,8.58,0.0433492,2
18,363681732,825431,Active,,,,90.23,2.12,0.003251,2,18.55,1.92,1e-07,2,100.8,1.73,0.612214,1,26.61,12.97,0.0106558,2
19,363681733,966016,Active,,,,101.12,2.37,0.296805,1,15.15,0.73,6e-07,2,88.39,3.66,0.115931,1,54.49,4.6,0.0041341,2
20,363681734,531963,Active,,,,87.43,5.6,0.0696172,1,20.85,3.38,1.15e-05,2,65.61,3.38,0.0011385,2,14.88,8.78,0.0005902,2
21,363681735,785556,Active,,,,87.82,8.58,0.175349,1,30.69,3.27,1.68e-05,2,43.37,13.3,0.0082256,2,0.51,0.49,0.0001468,2
22,363681736,793787,Active,,,,103.08,4.84,0.7449,1,42.31,5.93,0.0036684,2,83.25,2.41,0.0178488,2,49.98,5.77,0.0008571,2
23,363681737,966007,Active,,,,93.16,1.89,0.0067897,2,13.3,1.06,2e-07,2,109.93,11.23,0.433109,1,61.87,10.55,0.0405154,2
24,363681738,759456,Active,,,,101.51,0.76,0.217723,1,51.56,2.15,8.1e-06,2,118.04,4.97,0.0818534,1,70.53,9.99,0.190861,1
25,363681739,531967,Active,,,,98.84,0.61,0.0513208,1,34.26,7.24,0.0061255,2,80.17,9.54,0.104138,1,36.72,9.11,0.0005989,2
26,363681740,794474,Active,,,,98.98,4.47,0.315995,1,25.81,3.98,8.32e-05,2,48.8,0.44,0.0008118,2,41.65,5.97,0.0033497,2
27,363681741,966762,Active,,,,95.9,6.37,0.285962,1,12.02,5.57,0.0006296,2,91.27,6.29,0.327983,1,65.39,8.53,0.0778493,1
28,363681742,295105,Active,,,,93.2,4.63,0.104664,1,15.79,7,0.0025803,2,93.16,9.43,0.437088,1,37.94,12.95,0.0206427,2
29,363681743,275109,Active,,,,89.76,10.3,0.274189,1,9.19,4.64,0.0001398,2,80.21,16.64,0.251815,1,48.09,10.64,0.0381547,2
30,363681744,705916,Active,,,,77.25,10.75,0.0784736,1,34.09,6.34,0.0006211,2,70.32,13.91,0.131532,1,3.11,2,0.0040692,2
31,363681745,722390,Active,,,,94.94,5.82,0.217715,1,21.97,4.2,0.0001069,2,91.81,7.97,0.322531,1,92.29,8.44,0.386072,1
32,363681746,40561022,Active,,,,88.31,2.14,0.0018088,2,13.16,0.62,6e-07,2,82.78,3.41,0.0102652,2,63.13,7.68,0.0061242,2
33,363681747,1369981,Active,,,,97.66,3.73,0.177399,1,49.18,4.43,0.0010476,2,114.4,8.03,0.152396,1,90.7,4.99,0.15235,1
34,363681748,3582371,Active,,,,92.97,2.68,0.0195118,1,22.31,2.2,3e-07,2,90.56,13.3,0.444608,1,84.54,6.77,0.144999,1
35,363681749,646891,Active,,,,101.03,6.8,0.626387,1,14.22,1.46,1e-07,2,72.01,10.29,0.0596802,1,55.29,9.03,0.0118272,2
36,363681750,3532749,Active,,,,77.87,7.51,0.0194362,1,35.11,7.72,0.0081668,2,90.38,6.22,0.124339,1,22.28,8.42,0.0003255,2
37,363681751,2274358,Active,,,,82.96,6.4,0.0594282,1,13.82,3.64,1.65e-05,2,35.17,10.65,0.0073195,2,7.63,7.28,0.0034196,2
38,363681752,532008,Active,,,,78.32,16.27,0.240827,1,24.62,5.8,0.0013512,2,60.1,10.44,0.0381685,2,17.75,9.01,0.0211883,2
39,363681753,790350,Active,,,,103.11,4.5,0.733546,1,52.28,4.72,0.0004097,2,78.72,10.94,0.125331,1,22.98,5.09,0.005617,2
40,363681754,242891,Active,,,,103.45,3.17,0.707882,1,61.76,3.63,0.0009989,2,101.27,5.36,0.912137,1,73.89,4.39,0.0018829,2
41,363681755,7688881,Active,,,,77.29,5.17,0.0067436,2,21.94,5.97,0.0014243,2,97.54,7.52,0.527774,1,67.18,9.35,0.0137478,2
42,363681756,1380774,Active,,,,97.03,4.22,0.188727,1,51.31,3.07,7.41e-05,2,132.93,8.36,0.0249872,2,112.82,5.94,0.0793146,1
43,363681757,532011,Active,,,,92.71,2.27,0.0098917,2,44.79,4.3,0.0005892,2,119.57,9.24,0.0945015,1,91.1,3.1,0.118158,1
44,363681758,2876965,Active,,,,89.61,3.37,0.019327,1,36.9,3.51,5.61e-05,2,48.82,5.89,0.016904,2,39.77,8.77,0.0066591,2
45,363681759,5157369,Active,,,,89.56,3.08,0.0131854,1,20.19,3.78,3.5e-05,2,98.07,6.31,0.671048,1,102.51,9.4,0.719867,1
46,363681760,4411436,Active,,,,82.18,3.73,0.0080023,2,17.52,2.48,4e-07,2,83.82,2.97,0.0246117,2,49.37,8.93,0.003355,2
47,363681761,2665137,Active,,,,80.45,5.63,0.0150616,1,15.4,2.06,0,2,88.57,2.81,0.0687217,1,73.05,9.83,0.086653,1
48,363681762,823475,Active,,,,75.99,1.32,1.71e-05,2,23.74,3.57,2.46e-05,2,86.49,3.44,0.082518,1,64.54,9.56,0.0277685,2
49,363681763,793815,Active,,,,87.66,0.27,0.0007683,2,21.93,2.04,2e-07,2,86.39,5.01,0.0366438,2,67.84,9.18,0.0090096,2
50,363681764,22336590,Active,,,,96.73,1.12,0.0185635,1,25.1,4.66,0.0003075,2,90.61,3.6,0.0295958,2,87.35,9.03,0.204111,1
51,363681765,105534577,Active,,,,105.71,2.1,0.83383,1,89.01,0.29,0.096158,1,116.02,2.4,0.0119214,2,106.77,7.46,0.438072,1
52,363681766,3893537,Active,,,,93.54,3.72,0.0646326,1,20.99,1.61,2e-07,2,95.62,6.48,0.638149,1,68.37,6.94,0.0260766,2
53,363681767,1357063,Active,,,,99.11,1.02,0.0631833,1,26.29,1.61,2e-07,2,97.52,6.97,0.721669,1,99.2,12.46,0.51668,1
54,363681768,790108,Active,,,,85.79,0.56,0.0003714,2,27.48,3.82,6.28e-05,2,91.97,6.97,0.336375,1,51.85,8.59,0.0071839,2
55,363681769,803381,Active,,,,90.15,4.05,0.0413465,1,37.57,6.12,0.0033397,2,57.44,0.89,0.002448,2,11.82,8.65,0.0021193,2
56,363681770,531839,Active,,,,76.3,3.37,0.0019856,2,33.2,6.54,0.0007086,2,32.95,8.04,0.0222899,2,0,0,0.0023617,2
57,363681771,803364,Active,,,,79.25,7.19,0.0569185,1,44.53,4.94,0.0002499,2,32.57,4.05,0.0080276,2,7.84,7.63,0.0039848,2
58,363681772,835330,Active,,,,95.07,3.19,0.0626207,1,57.13,2.87,9.98e-05,2,60.37,2.07,0.0051096,2,43.83,8.69,0.0118678,2
59,363681773,7688876,Active,,,,92.46,1.04,0.0025643,2,23.02,3.54,2.14e-05,2,80.05,11,0.188538,1,78.22,7.96,0.0728618,1
60,363681774,1019232,Inactive,,,,102.43,1.01,0.361295,1,79.24,5.37,0.0721404,1,96.75,0.75,0.0601844,1,95.41,6.24,0.55211,1
61,363681775,531843,Active,,,,91.52,1.89,0.0035525,2,31.95,8.44,0.0099083,2,109.16,2.15,0.0374932,2,63.72,8.46,0.0141944,2
62,363681776,790127,Active,,,,95.78,5.02,0.196929,1,36.4,2.91,9.2e-06,2,56.96,0.83,0.0026941,2,46.41,6.95,0.0061084,2
63,363681777,1277478,Active,,,,94.72,1.25,0.0073172,2,24.43,2.11,3e-07,2,82.81,8.96,0.17998,1,87.96,3.71,0.0753182,1
64,363681778,2635646,Active,,,,103.12,0.77,0.485149,1,66.11,3.94,0.0030234,2,79.68,11.24,0.283085,1,79.62,1.63,0.0091712,2
65,363681779,2635656,Active,,,,104.7,3.12,0.939911,1,69.61,3.79,0.0014586,2,89.54,12.09,0.443122,1,58.86,7.83,0.0171633,2
66,363681780,8713816,Active,,,,82.64,4.21,0.014667,1,21.26,5.93,0.0013291,2,89.74,7.27,0.285654,1,62.36,9.32,0.0355819,2
67,363681781,2635677,Active,,,,89.3,2.93,0.0099348,2,28.86,5.7,0.0014774,2,90.09,1.42,0.0297524,2,49.72,8.08,0.0058105,2
68,363681782,2635672,Active,,,,87.4,1.83,0.0007354,2,27.57,3.61,3.59e-05,2,87.12,2.97,0.0368608,2,54.11,1.36,0.0004231,2
69,363681783,2635673,Active,,,,102.85,5.35,0.73821,1,53.46,4.74,0.0004875,2,107.29,2.5,0.094725,1,55.15,9.22,0.0289698,2
70,363681784,7688839,Active,,,,87.81,1.51,0.00053,2,32.64,5.97,0.0022843,2,117.19,10.41,0.201787,1,103.47,7.05,0.66581,1
71,363681785,24203363,Active,,,,106.66,2.48,0.6526,1,95.1,1.09,0.96622,1,132.39,6.35,0.0400982,2,91.38,9.5,0.435167,1
72,363681786,9411125,Active,,,,109.96,1.42,0.122051,1,98.69,3.26,0.463625,1,100.75,4.17,0.6124,1,91.73,1.96,0.021435,2
73,363681787,25341987,Active,,,,104.17,0.91,0.756383,1,82.32,1.23,0.0068612,2,60.55,10.08,0.037869,2,0.31,0.16,0.0053971,2
74,363681788,37239285,Active,,,,84.36,3.78,0.0118781,1,72.57,3.17,0.0026968,2,75.34,2.28,0.0094978,2,44.89,11.84,0.0041861,2
75,377716496,615665,Active,,,,81.03,4.29,0.012832,1,10.44,1.26,1e-07,2,98.76,6.96,0.645582,1,57.75,15.37,0.0394047,2
76,377716497,1241284,Active,,,,79.23,4.7,0.0151182,1,14.28,1.37,1e-07,2,91.97,9.65,0.454319,1,14.59,9.45,0.0014519,2
77,377716498,26517719,Active,,,,83.95,5.31,0.0393165,1,13.1,2.44,3e-07,2,94.83,8.13,0.525145,1,111.9,5.68,0.790562,1
78,377716499,1230047,Active,,,,86.09,6.02,0.071136,1,59.64,3.42,0.0004993,2,96.21,8.41,0.575699,1,86.65,3.29,0.0389369,2
79,377716500,7741668,Active,,,,92.37,4.93,0.104687,1,79.97,2.67,0.0083981,2,90.89,7.82,0.308441,1,91.57,4.34,0.108486,1
80,377716501,702115,Active,,,,93.91,4.38,0.105443,1,91.18,5.36,0.552472,1,88.56,6.14,0.18049,1,84.17,3.82,0.0149493,2
81,377716502,669705,Active,,,,80.8,8.94,0.104466,1,36.87,8.19,0.0030086,2,80.6,5.94,0.0536063,1,97.19,4.64,0.656478,1
82,377716503,870401,Active,,,,85.84,7.39,0.109777,1,41.56,7.03,0.0019141,2,68.92,4.87,0.002876,2,65.36,3.98,0.0001427,2
83,377716504,3570273,Inactive,,,,85.06,5.56,0.0511115,1,80.99,3.49,0.0271657,1,94.46,6.01,0.366265,1,88.11,4,0.0579056,1
84,377716505,1371056,Active,,,,87.5,7.61,0.137414,1,35.46,5.36,0.0014308,2,98.82,7.01,0.756254,1,91.22,4.48,0.136304,1
85,377716506,724086,Inactive,,,,93.3,4.32,0.0906609,1,93.82,3.04,0.752453,1,87.77,4.64,0.0698329,1,85.65,4.13,0.0726093,1
86,377716507,1126377,Active,,,,100.15,3.67,0.332878,1,85.03,5.36,0.186146,1,92.22,7.11,0.306647,1,76.7,3.32,0.0240679,2
87,377716508,3095619,Inactive,,,,96.19,2.8,0.0630792,1,84.8,4.09,0.104956,1,95.95,6.93,0.54637,1,90.98,7.15,0.270117,1
88,377716509,724089,Active,,,,90.94,4.07,0.048682,1,81.29,0.29,0.0057882,2,92.81,9.79,0.422175,1,89.57,7.46,0.237161,1
89,377716510,675271,Inactive,,,,104.2,2.35,0.819153,1,86.35,2.67,0.0596638,1,90.76,5.86,0.208081,1,94.68,2.4,0.16388,1
90,377716511,1092365,Inactive,,,,94.39,3.15,0.049668,1,74.48,5.36,0.0202336,1,99.27,7.09,0.864111,1,95.31,6.54,0.483783,1
91,377716512,795014,Active,,,,101.57,4.32,0.533041,1,92.35,3.33,0.547837,1,86.64,3.1,0.0229177,2,86.14,2.32,0.0276163,2
92,377716513,7409078,Inactive,,,,105.34,2.72,0.932098,1,90.53,3.98,0.39532,1,92.22,4.51,0.145882,1,96.45,3.97,0.288699,1
93,377716514,13016199,Active,,,,90.48,2.73,0.0100834,1,38.25,6.61,0.0049508,2,116.61,16.29,0.384846,1,99.7,4.26,0.347557,1
94,377716515,54790805,Active,,,,107.45,3.62,0.606099,1,88.71,2.86,0.168504,1,93.93,1.01,0.0029355,2,90.84,7.64,0.269766,1
95,377716516,17085988,Active,,,,107.5,8.3,0.797295,1,67.78,4.2,0.0018434,2,108.89,13.84,0.737005,1,93.72,5.99,0.28185,1
96,377716517,17086057,Active,,,,110.05,5.91,0.493469,1,76.14,3.91,0.0075844,2,92.59,11.5,0.424627,1,95.62,10.16,0.60317,1
97,377716518,135564192,Active,,,,97.43,1.78,0.0403657,1,41.16,9.01,0.0179041,1,81.94,2.61,0.0030844,2,86.04,1.96,0.0073372,2
98,377716519,105534085,Active,,,,100.33,1.44,0.140875,1,51.2,4.39,0.001168,2,56.97,0.77,0.002644,2,36.73,11.57,0.0102028,2
99,377716520,135564193,Active,,,,91.31,6.05,0.1376,1,78.95,4.69,0.0468263,1,86.67,0.63,0.0031216,2,105.42,2.84,0.177324,1
100,377716521,135564194,Active,,,,90.14,8.1,0.200984,1,39.12,1.88,1e-06,2,90.31,4.26,0.166506,1,107.52,2.61,0.096183,1
101,377716522,2990927,Active,,,,95.81,3.68,0.108428,1,61.08,3.5,0.0007148,2,76.01,1.87,0.005853,2,84.59,7.69,0.19045,1
102,377716523,1301291,Active,,,,90.05,6.98,0.154401,1,63.56,5.04,0.0081376,2,84.32,6.72,0.146326,1,90.64,5.76,0.218993,1
103,377716524,2985449,Active,,,,83.57,9.52,0.145898,1,66.36,4.31,0.0051184,2,96.18,5.89,0.584481,1,85.51,4.03,0.0844934,1
104,377716525,2111762,Active,,,,97.79,4.36,0.235921,1,81.49,9.04,0.22835,1,78,6.98,0.0889428,1,82.25,5.5,0.0438141,2
105,377716526,2987322,Inactive,,,,93.11,8.1,0.276033,1,98.67,9.55,0.760145,1,80.83,9.89,0.193746,1,92.79,17.87,0.494389,1
106,377716527,2987564,Inactive,,,,100.74,3.04,0.325553,1,77.64,9.19,0.149645,1,89.01,9.9,0.317919,1,104.28,7.87,0.549259,1
107,377716528,7741633,Inactive,,,,104.29,3.83,0.882552,1,91.53,2.23,0.358685,1,90.86,5.25,0.226284,1,89.57,7.91,0.286692,1
108,377716530,679012,Inactive,,,,93.65,3.36,0.0493108,1,76.23,6.3,0.0476965,1,82.08,4.39,0.0532006,1,80.08,5.86,0.0968696,1
109,377716531,47112445,Inactive,,,,107.19,5.69,0.749422,1,95.66,3.78,0.934878,1,85.45,8.03,0.195333,1,99.28,0.98,0.512302,1
110,377716532,3120393,Inactive,,,,111.93,8.27,0.494934,1,84.51,9.76,0.359316,1,82.73,8.21,0.171659,1,93.26,4.98,0.276328,1
111,377716533,19400,Active,,,,95.7,3.38,0.0866098,1,78.41,4.18,0.0289664,1,87.91,4.52,0.117014,1,92.45,1.33,0.0255585,2
112,377716534,135564195,Inactive,,,,111.96,6.7,0.412965,1,98.25,4.3,0.590004,1,84.22,11.74,0.312943,1,93.26,2.72,0.180425,1
113,377716535,135564196,Active,,,,105.17,11.44,0.990178,1,109.77,8.47,0.221421,1,64,8.26,0.048214,2,86.47,9.32,0.254929,1
114,377716536,135564197,Inactive,,,,109.99,3.65,0.32136,1,98.27,4.53,0.609886,1,83.67,4.79,0.0772064,1,94.07,3.18,0.190397,1
115,377716537,135564198,Inactive,,,,103.74,4.11,0.805656,1,101.43,8.74,0.560187,1,105.88,10.88,0.875619,1,84.02,9.2,0.15713,1
116,377716538,135564199,Inactive,,,,105.41,1.98,0.902855,1,98.09,4.33,0.618834,1,111.71,11.99,0.471856,1,132.1,12.98,0.1257,1
117,377716539,730377,Active,,,,92.39,6.27,0.17008,1,60.24,6.33,0.0159394,1,73.87,7.49,0.0363862,2,74.22,4.28,0.0246829,2
